,x,y
14173,what happened to the warm? i will commence pouting until it returns readysetgo,sadness
14174,fridayyyyy!!.... but i'm working,sadness
14175,"<user> lol, such a dork. hmm, is that book pretty good? maybe i should check it out. that's why 4gb sucks 8 isn't much better.",joy
14176,<user> hahaha i agree. im s glad aiden won tonights show and greg should have got the other place,love
14177,wishes it was this time last week,noemo
14178,<user> my day just hasnt been the same without ur running conversation all day,sadness
14179,<user> nooooooooooooooo! well the 4g will prob be out in june but that doesn't help u now,sadness
14180,computer is packed away. there goes my life. right into a cardboard box.,fear
14181,<user> aww i don't want u to suffer it's just midol isn't working for me. grrrrr i hate that stuff. but i love you tho.,love
14182,gots a headache now,noemo
14183,i am very bummed that there are no babydoll or spaghetti-strap tank three wolf moon t-shirts. love the meme; hate wearing a fabric box.,sadness
14184,<user> you didnt include taylor in the &quot;follow friday&quot;,fear
14185,phoneless for the next couple of hours. no one to blame but myself.,fear
14186,at home now. feeling very tired. i want to take a nap but i can't.,anger
14187,<user> you don't like them?,noemo
14188,<user> ooops! the last link is the same as the first! sry my mistake,fear
14189,i need a job to keep me above waters...thought i had one but apparently its &quot;casual&quot; so now on the search again,fear
14190,<user> perez....... the youtube video isn't working,noemo
14191,<user> something 2 get your attention 2 get sexify my love played <url> what? it worked last time! no $ 2 bribe,love
14192,my flip flop just broke...walking in downtown seattle,fear
14193,<user> hi jordan i'm gonna all of u...i know ur busy and i know ur probably tired. but please reschedule nc. don't leave us out.,noemo
14194,<user> ahaha i know. but now i can't do anything over the weekend,noemo
14195,is a lil sad bc i wont be able toeat a hot dog and big kahuna cookie sandwich at the ranger game tonight!,fear
14196,greg d: you should have cried too :l you could have got through!! i still love you greg. #bgt,love
14197,<user> don't count on it,noemo
14198,<user> too bad i can't come! enjoy urself tho.,sadness
14199,i'm trying to tag myself on <user> picture on facebook but it already has 50 tags. lol,noemo
14200,"finally, i got my teaching load confusion cleared. i will teach 3 third year sections but with a catch.",joy
14201,<user> pleaseeeee .. it was the only thing i wanted for my birthdayyyy! please say happy birthday to me!,fear
14202,<user> i havent been out west since 07...i think i picked a bad wknd b/c its overcast out here tho,noemo
14203,i'm boredddd. the day has gone quick i don't like it!,sadness
14204,"even though it's only 7am on saturday morning, it feels like the weekend is already over. btw i'm awake because i had a bad dream..",noemo
14205,"darn, i had one and it slipped right through my fingers",sadness
14206,<user> aww im ok been stuck on a coach coming back from nans today and its been lovely sunshine too xx,love
14207,"finally the school day ended, friday friday friday w00t! but it's raining outside.",sadness
14208,i have a headache,fear
14209,"nothing much on tv, seen most of the good stuff...think i'll go to bed soon, but it's too hot to sleep",noemo
14210,ya could hit me up on aim or here cause i am mad bored nuttin 2 do,noemo
14211,heyya guys! does anyone know how to give formulas to create a sudoku? please help,fear
14212,i need to play infamous... where's a free blockbuster rental coupon when you need one? i miss that coke reward,sadness
14213,justwatched the most depressing episode of jon kate ever!!!i actually almost cried.,sadness
14214,soreeeee throattttttt,fear
14215,wish i had a laptop charger so i could tweet faster,sadness
14216,<user> i canï¿½t choose one i love all the songs on lv&amp;tt;bt if u like... read more: <url>,love
14217,is veryyy upset she cant go to hacienda tonight because the stupid nuggets game,sadness
14218,im feeling like ish! i just wanna go home and go mimis,fear
14219,ohhhh my feet ache,anger
14220,"dad asked me why i was sticking my tongue out while i was ironing, and i told him it was so i didn't burn my finger, as i burnt my finger",fear
14221,"when you feel you can not live without something is when it is taken away. oh, to do it all over again with what i know now. movin on",sadness
14222,got a super cold!,noemo
14223,comin back from the mall didnt get anything cause i have no money and stuff but tuesday is pay day ilu ~joshy~,sadness
14224,<user> gonna go home and try to take a nap. i am emotionally exhausted ... i will be in after.. &lt;3,fear
14225,<user> wee arr sowbur i promiss. the styoopid flying thing hazzunt kum owt agane. itt iz hyding sumware and larffing att us.,noemo
14226,don't have the will power to finish hour two of my work out,joy
14227,"<user> nope! the printer in the library didn't work, ill have to pass it in monday",noemo
14228,i have a stomach ache... totally sucks,fear
14229,at economics i wanna go homeeeeeee im tired and i hate the teacher. and iï¿½m sick of half of my classmates and i wanna go home and sleep,anger
14230,i am the only arabic girl who's online every one is a sleep ..,sadness
14231,<user> that's a shame really,fear
14232,3 margs. driving home in the rain now,noemo
14233,<user> i got too do course work i hate it it is hard this one,anger
14234,"<user> i was stupid and didnt get it, now i cant find it. i think i have to do ebay but that scares me",fear
14235,"<user> i'm not sure which part you're replying to, lol - but bb starts soon",noemo
14236,not babysitting tonight. i miss that kid.,love
14237,lucy is hating on my gweg!,anger
14238,<user> you didn't include <user> in the &quot;follow friday&quot;,noemo
14239,my new picture won't upload!!!,sadness
14240,<user> were getting old donny. i got one starting high school next yr and one going into the 7th. where have the years gone?!,fear
14241,<user> nope- dnt have wireless ne more haters!!!! ugh... save me a copy so i can watch it...,anger
14242,here at work still feeling the pain for my friend wish i had a magic wand to erase all the madness,fear
14243,"omg, my mom just called... im too late... hes gone",fear
14244,photography class over summer cancelled. going somewhere i dont want to and missing the spring game and no email from eric swist,sadness
14245,"<user> batman: arkham asylum, but i don't own a system that will play it, sadness",fear
14246,off home ill from work. this man flu is hell,sadness
14247,<user> omg i had a meltdown when he died/actually died in real life av got the box sets!,fear
14248,"this twitter shit kan eat the gun now ....an i don't even be goin in smfh, over reactin 4 nothin, i need 2 stay strong",anger
14249,"<user> i could never do that to one of my children, look what happened to nina zavaroni (sp) brooke shields and drew barrymore",noemo
14250,<user> i know they r lol i hope she does she said she will,noemo
14251,"wanted greg pritchard to go through what a silly, sobby and hopelessly dull little girl hollie steel is?",sadness
14252,"<user> how dare u? after all the love making we've made over email, im a stranger? u never replied",sadness
14253,<user> after i water the plants i am headed to the farm. don't have any popcorn for the goats katnip is looking good under saddle,fear
14254,<user> lol! ok ok it is a little absurd... lol but my mini and open toe heels won't make it in this weather,joy
14255,<user> yeah like super short i guess i'll just have to hold my breath till sunday.,joy
14256,<user> i agree pre decided i think...,noemo
14257,"slightly burnt challah the proof is in the eatin', though...",fear
14258,lost my keys at the mall... took me 45 mins to find them,sadness
14259,<user> loads of beard papas have disappeared in the uk too,noemo
14260,<user> someone came in when i was sleeping off my national passtime and turned me human,noemo
14261,<user> noooooooooooooooooooooooooo! you can't do that,sadness
14262,"why would someone even do something like that, you gotta be pretty damn desperate for attention!!! lol poor keanu",fear
14263,whuuurrrrr - glands really swollen now. guess the weekend's a blow out.,sadness
14264,nothing good on tv,sadness
14265,"my dog is sick. i love that little doggie. he's usually so keen and happy, but he doesn't even want to go for a run in the forest today.",fear
14266,<user> what?really? that sucks <url>,anger
14267,<user> awww no. you're not ugly.,sadness
14268,<user> ...as well as bell hooks teaching to transgress. sometimes i miss teaching &amp; messing with bad system.,sadness
14269,<user> congrats; im still jobless,fear
14270,<user> working extra hours...,sadness
14271,<user> boo. i got rained out at the beach.,noemo
14272,"enjoying my pathetic tiny music collection, while rearranging my room. still a little tired from shortening the grass, and that one frog",surprise
14273,<user> my phone is still broken. just come over whenever.,noemo
14274,<user> <user> it sucks no matter where you are! i'm gonna freakin be late for work!,fear
14275,<user> <user> what is this? is everyone abandoning me? ;-),fear
14276,"twitter,facebook,myspace...no phone still",noemo
14277,"<user> yeah unfortunately the flight is most expensive.....the rest is not so bad - the flight is ca. usd 800 - 900,--",fear
14278,<user> hope he is ok!,fear
14279,loved &quot;drag me to hell&quot; and &quot;up&quot;...yeah my spend the day studying plan didn't happen,fear
14280,"not sure if i can use my neko tix for sunday night. may be offering them to someone else, you'll all be the first to know if interested",noemo
14281,jsut f*@#$%&amp; got off work at carowinds and am dead ass tired!!!,joy
14282,grrr! my internet will be up and running next wed at least now i have a def. answer!,joy
14283,moses and his girlfriend broke up!,fear
14284,<user> yea. i was off today luv. i shudve told u. anything exciting happen yet. and i saw u last night,fear
14285,"feeling awful, new medication is making me nauseous",fear
14286,great first impressions about the little netbook- they only downside is there is no access hatch to upgrade the ram,sadness
14287,<user> sad day. i was lucky enough to realize it before i got out of the parking lot.,fear
14288,<user> i know,noemo
14289,my tummy hurts,surprise
14290,<user> i was in the shower sorrrrrryyy,noemo
14291,<user> ummmnnn ummmnnn good thanks for letting me know earlier... i ate already,surprise
14292,i wanna be wif my boyfrannnnn,noemo
14293,395 votes for hungary?what? but....but...the nurburgring... <url>,surprise
14294,britain's got (good) weather. i wish i had some of that over here.,noemo
14295,what? but....but...the nurburgring... why is it so good? <url>,surprise
14296,<user> what is it? i cant get onto bebo on this one!,surprise
14297,just saw up with my favorites and surprisingly it was way too sad,sadness
14298,<user> well my team couldn't,sadness
14299,i have no followers,sadness
14300,"sad that gmail chat has died, so i can't help <user>",fear
14301,aww man i left all my laffy taffy's at work,noemo
14302,its an undeniable truth. i suck at talking to people. no good at making a connection. i come off as either strange or distant,sadness
14303,hmm...what to make for dinner tonight??? no clue. don't feel like cooking anything hubby wants to go away tonight.,joy
14304,it's hollie spelt with an 'ie' not a y!! she made me cry on bgt tonight gxx,sadness
14305,<user> i know. i was hoping to meet you tonite &amp; i just found out a few min ago that we have a mutual friend cuong h.,joy
14306,"iigghhtt, just fur geet it. idc. idk. eh blah ugh. blah idk... hah..=] um yah.. immboredddd, ugh ill just fuckitt",sadness
14307,thundershowers plus baseball equals awwww,noemo
14308,"how did i give birth to a screamer?? i hate screaming children!! i guess i hate screaming children besides my own, now.",sadness
14309,<user> something we all need sometime,fear
14310,sunburn hurts!,anger
14311,i don't feeeel good. :/ my head hurts. and i have too much homework to do. schools no fun. :p hehe,fear
14312,anyone have some advice??? i need it!!,fear
14313,yea! headed home to change and head over to pelham. sad thought... suposed to be heading over there for the nkotb concert...,sadness
14314,<user> haha. weird?!? no sunshine for us,fear
14315,"i love summer, but i oddly don't want this school year to end.",sadness
14316,i think the ups web site hates me now. still no brewing supply package. held hostage at work by slow ups delivery,anger
14317,<user> <url> - saddest thing i've seen a while,fear
14318,"<user> oh noooo, did he not get through?",fear
14319,sorry if i'm confusing anyone. i keep forgetting to <user> the desktop twitterific is not so terrific very different from iphone app.,fear
14320,<user> i miss you already come visit me pleeeeease,fear
14321,<user> dude. same. it hurts,sadness
14322,<user> oh that's good! my top 4 are: the haunted house/sound one; bakery; inside ralphie's body; &amp; ..... i forget!!,sadness
14323,<user> that is so not good. your box is worth way more than that!,sadness
14324,<user> really? i hate the mobile twitter..its hard to tweet with a sidekick,anger
14325,doh. in a rush to get to the puma open and i just got pulled over. so sad.,sadness
14326,oooooooooo <user> but you just said you were dancin at home. so doesn't that count?,surprise
14327,"<user> in the past it was ok but since iï¿½ve got my own appartment, my own car........itï¿½s very difficult to save the money",sadness
14328,<user> yea i just got outta one too....i want him back tho but i feel the same way...i'm cool on dudes for a lil while,sadness
14329,i just stuck my finger down my throat and there are a bunch of bumps on my tongue &amp; throat.,fear
14330,"today is a sad day for tucson: <url> i shall miss the sour cream apple pie, fondue, and separate seating for groups with dogs",sadness
14331,dared to go back and look at that vid i made - i may take it down,love
14332,"mail came, still no infamous",fear
14333,<user> the link 404'd.,noemo
14334,frustrated by my stupid iphone i need a blackberry!!!!,anger
14335,darts and lunch at horse brass... but no beer for me <url>,fear
14336,<user> yes.i loved disney...and i still do haha.how karazzzy is that?but i've never been to disney....blah!!,love
14337,<user> i'm jealous. i have so let it slip what with the baby and all. not sure i could even do a half right now,fear
14338,"at home. didn't see the bloody movie, full booked but night at the museum was fun though.",joy
14339,"<user> yeah, but no new material.",sadness
14340,"firefox again taking upwards of 600k of memory, time to restart ff",noemo
14341,"i cant sleep, i dont deserve this .... n you know it",fear
14342,ouch!!!!!!!!!!!!!!!.........that really hurt!!!,fear
14343,<user> i think your blog should've been on the list,love
14344,"<user> really good, but it's definitely not a 12's. so many people getting burned alive",sadness
14345,<user> i'll stop by for a bit when i'm off. but have to rush to rehearsal - no quiet for me tonight.,fear
14346,<user> oh! i'm only in my 7 i just joined twitter a few days ago....,noemo
14347,<user> sorry i dead ass was gonna do that,sadness
14348,another long day at hallmark.,noemo
14349,"been a beautiful day today i love the sunshine, missing my man though he is away all weekend xxxx",sadness
14350,<user> that's kinda sad. and they're poking me while they're at it. huh.,fear
14351,plans got ruined no blackstone going to carnival tomorrow if the weather is good,sadness
14352,i hate watching the news. why do such awful things happen?,anger
14353,<user> i'm not giving up <url>,noemo
14354,<user> so do i! but nothing near me right now,noemo
14355,<user> wonderful! let me know what you think. not light reading,joy
14356,"<user> i must admit though, part of me didn't want her to get through so she wouldn't have to put herself through all that again.",fear
14357,traffic backed up inbound lincoln tunnel,noemo
14358,<user> omg!!! that's a nightmare,surprise
14359,<user> our raid leader made us run drills to practice switching,fear
14360,back to work,joy
14361,getting ready for work.,noemo
14362,<user> i feel lost... i keep running (in my head) from staring faces.. haha. basically:headache &amp; eyes hurt,sadness
14363,wondering if i cld make things any worse than they already are... answer.. just did!!!,fear
14364,<user> good luck!! oh and i are playing inthe mixed knockout this week. playing the pros 14yr old son playing off 5 &amp; top woman off 6,joy
14365,after 5pm and no email. looks like i'll be waiting at least until monday. boo.,fear
14366,facebook is being a bitch,sadness
14367,sad because i cant go over my friends house,sadness
14368,<user> jealous i wanted see that film,surprise
14369,"yep, lost my bet to chris",sadness
14370,messed on these but i'm makin' it right! <user> <user> <user> best holy day wishes to you all!,sadness
14371,just found out my friend's dad passed away yesterday,fear
14372,why do i even bother anymore? everyone is makin me feel like im a waste of space,sadness
14373,"<user> hm, maybe louise rennison will break tradition and it will be out in october instead i always order the uk versions anyway",noemo
14374,is cursing ab's wardrobe handles. one drew blood,noemo
14375,<user> without anyone,noemo
14376,been job hunting for days. media and non-media jobs. no lucky anyone know of anything???,fear
14377,i feel like last night was a dream... well i guess i should say nightmare.,sadness
14378,it's not gonna happen again,sadness
14379,<user> just investigated whether i could change my username to ermintrude - someone's already nabbed it,noemo
14380,attempting to count the days till i return to canada...theres alot of them,sadness
14381,<user> *humming* hmmm hmmm hmmmm hmmmmmm touched for the verry first time..... hmmmm hmmmm hmmm hmm hmm mmm mmmmm ......,fear
14382,<user> what happened to dave?,noemo
14383,"i really should be doing something more productive, why am i not there yet?",fear
14384,"<user> not sure, but i can tell you what happens to a pre-chilled watermelon that you leave in your car *in tx* for a week! not good",noemo
14385,just got a call from my realtor saying i have another showing on sunday. no offers yet but at least there is a lot of interest.,joy
14386,<user> oh no! i hope you find your kitten,fear
14387,<user> i like it,joy
14388,<user> - whoa. &quot;sack chasing whores&quot; ? that is soo out of character for you to say that... bring back my sweet superman,fear
14389,<user> not an easy place for me to access task-based ux is something i've been thinking about. i'd like to hear the criticisms.,noemo
14390,i am braid free i miss thee ... blond here i come!!,sadness
14391,<user> i could barely choke it down,noemo
14392,"i'm so sad, really really sad",sadness
14393,<user> how did your geo isu go? i swear i just had the worse day ever..,fear
14394,i really cant take this.,sadness
14395,"<user> i'm sorry, but you wrote that on a blackberry which means you loose any respect i had for you",fear
14396,waking up way to late = bad. getting yelled at for it later = worse.,fear
14397,<user> i loved that movie! and i miss raul julia.,joy
14398,damnit day 26 is at northpark mall..i use to live near there someone steal mike for meeee!,fear
14399,&amp;not gonna lie. it's 60 degrees in here. thanks for leavin me your sweater molly. brrrrr,noemo
14400,i hate how ms makes me feel. i can't control my legs 2nite &amp; am in too much pain - it's driving me crazy anyone else get those moments?!!,fear
14401,i need some drank &amp; &quot;grape kontakt&quot; from my girlies lol soooo serious!,joy
14402,<user> haha. yep. ya got me,joy
14403,no one wants a #virtualkiss,fear
14404,i had my galaxy..and god it was good!! where has everyone gone..twitters gone a bit quiet xxxxx,joy
14405,<user> and she's 9.5 and a rescue.. bad hips. she deserves pampering! she's full of life though!!,joy
14406,didn't get chance to pick up my copy of guitar hero: metallic yet,fear
14407,scary cape guy,noemo
14408,"yesterday i didn't do much because i was just lazy, but today i don't feel so good.",fear
14409,<user> still no direct message for me. what the hell am i complaining about? i'll c ya in 27. if u don't answer i'll ask in 5*.,sadness
14410,"why do i never get to see my paychecks? it's not fair, the second i get them they're gone!",fear
14411,<user> lol emmett wont do a dance off again,noemo
14412,<user> will the presentations be available online during the meeting? the poster discussants are going so fast i can't write fast enough,fear
14413,emo moment!! just said good bye to my best friends ever! but we'll meet again for sure!,sadness
14414,omggg. i just heard someone is gonna die on the new season of the secret life of the american teenager noooo.,sadness
14415,as if the day couldn't get any worse! am once again an involuntary audio audience to the (not so) domestic bliss emanating from next door,anger
14416,<user> <url> &lt;&lt; i miss music like this,sadness
14417,thinks his haircut isnt as bad as it looked yesterday..... - still bad tho!,surprise
14418,"<user> unfort, i can't dm you b/c ur not following me",anger
14419,<user> lmao back in queens now,joy
14420,my little sister told me i have a double chin aww,sadness
14421,surgery effin hurts,sadness
14422,"damn rain!!!!! oh well, looks like the only football i'll experience today is the fa cup final!",noemo
14423,"<user> i dont, i'm not allowed to vote perants complain about the cost so dont let me vote. but i love his act its just so different",love
14424,at least it's friday...working 'til 1:30am,joy
14425,i was expecting the sun to come out today. i guess that's not happening.,fear
14426,<user> i will push it into the sea for you,anger
14427,<user> never stop in t1,noemo
14428,wants tfa back. <url>,noemo
14429,"<user> im sick if i wasnt, id be at the show with ya!",fear
14430,"my boyfriend just broke his wrist, now he might need surgery im so nervous",fear
14431,<user> all is quiet in twitterland 2day.,surprise
14432,just saw up it was a cute movie (:passed by a place called a peasants kitchen. wtf? that names kinda sad,joy
14433,<user> probably. sucks for you.,sadness
14434,<user> *fretful look* okay. but i think it's mumbling something. it's a bit muffled under the hat but it sounds like &quot;i need lactose&quot;.,noemo
14435,"<user> i had a analog tuner the mc team gave me few years ago. no inbox drivers, but wu handled it. wu drivers were pulled in jan",fear
14436,i need help twitter world! orange theraflu pills...are those going to be the drowsy or non drowsy?,fear
14437,<user> out of your car?! oh no!,surprise
14438,"im so done with this cold. i really wanna go out tonight, but i really dont feel like it.",noemo
14439,<user> wow that is a scary statistic,surprise
14440,i hate when a program freezes during installation.,sadness
14441,<user> sheep!!!!wassup???i miss you see you on monday!,noemo
14442,<user> we decided i'd probably forget i had it in my pocket and sit on it by accident,noemo
14443,"omg, little kids with cancer is the saddest thing ever",fear
14444,"loves surprises, but is never surprised",surprise
14445,<user> linda ~ what do you mean by your last post?? it doesn't sound good,noemo
14446,<user> i thought i was your best friend,fear
14447,lost a battle with the couch....phone has been blowing up,noemo
14448,"<url> - i'm really missing this place my grandparents are living there, on the calm country! but im coming to them ...",surprise
14449,<user> the little weeping nervous girl was put through... along with a 12 yr old quite good dancing boy. greg the lovely singer came 3rd,noemo
14450,"<user> today &quot;sonny with a chance&quot; came to brazil, i loved it!! you're amazing &lt;33 please reply",noemo
14451,<user> oh that was said perez,noemo
14452,fatty! omg i just found the worst shit out and idk what to do i need to talk to you!! hopefully i see you when you get off work. its badd,fear
14453,<user> aaaawwww wont yr brother blip things for you lol,fear
14454,new project @ work,noemo
14455,miss him way to much... just cnt stop thinking of him nite nite folkkz...,sadness
14456,"oh insomnia, i hate you. i'm bored of staring at my ceiling, cano go sleepnow please?",anger
14457,ochh ive got blister on my foot over the sun today its soo sore i supose yas dnt care hah just thaught i tweet it anyways,fear
14458,<user> <user> hired all the smart monkeys for e-mail marketing...,noemo
14459,cookies and milk to make me feel better. thanks babe. still recuperating from last night. <url>,joy
14460,i'm a little sad that school ended today i'm moving so i'm going to miss all my new friends from this year. just got a hair cut,sadness
14461,"ï¿½ miss my future, ï¿½ wanna see her ï¿½ for damn sure don't wanna wait til monday",fear
14462,"<user> *jealous* i desperately wanna go shopping, but alas, i have no cash.",fear
14463,there are bugs attacking my laptop,anger
14464,at drs again,sadness
14465,soaked in the rain in 30 seconds and i wasn't even hiking 8.4 miles with 2.5 miles in the rain like last weekend.,noemo
14466,"holy cow! archie andrews finally marries veronica lodge.this is not what i thought will eventually happen in my 6th grade awww...bad, bad",surprise
14467,rec game....trying not to cry...the pain is to much..i need him...can't lose him &lt;/3...my heart is breakingg,sadness
14468,didn't get a band leadership position,noemo
14469,<user> so sorry to hear that,fear
14470,<user> not sure yet... they said we'll see,noemo
14471,<user> how come? i want pizza,joy
14472,ugly girls always insist on making ugly faces! ugh!,noemo
14473,<user> omg same here! they hurt so much,sadness
14474,the new lego rock band trailer looks pretty weird. they coulda done a better job making it <url>,noemo
14475,"<user> super but i caught a cold on the plane. not as far forward in line as i'd like, but the extra sleep was dearly needed.",sadness
14476,waiting,noemo
14477,i'm so hungry,sadness
14478,why wont the wii get paperboy on virtual console,surprise
14479,"i don't remember the last movie i saw in the theatre, and that makes me really sad",fear
14480,<user> i know mcfly gonna be in brazil say them hello!!!...i wanna be there,fear
14481,<user> dont leave us !!! whats up ? xxx,fear
14482,home from china &amp; back to work,joy
14483,"<user> i gotta say, i feel bad for everyone in nkorea. they're starving, and they have a crazy in charge who endangers them daily.",fear
14484,i want to change my twitter name but i can't think of anything,fear
14485,my school is like the only one thats not on vacation.,noemo
14486,feel hurt. in car. gonna watch a funny movie. someone talk,fear
14487,"i hear it's a scorcher back home - all we've got here are clouds back in the studio, maybe if we're lucky we might get 2 songs done 2day!",fear
14488,i wish i could just go for a drive..or a movie or the store..i just wanna be alone,noemo
14489,<user> shoot! i voted and somehow looked over yours ... boo hiss. forgive me have a great weekend arik.,sadness
14490,<user> <user> <user> but <user> is right: this is like the cape breton coal mines but ++. no lessons learned.,sadness
14491,<user> sorry i didnt reply earlier i feel better now.,fear
14492,"<user> yeah, we're on our way home",noemo
14493,sighs. where's my candy,fear
14494,cof cof cof!,noemo
14495,back to the freaking homework.,sadness
14496,<user> meeeeee toooooooo!!!!!!!!! i'm gonna be so disappointed if it's just season 7.,sadness
14497,almost lost my phone.,noemo
14498,my brain hurts,sadness
14499,<user> what's wrong? how come u in pain?,sadness
14500,<user> nope,noemo
14501,missed britains got talent gutted.,sadness
14502,i dont know what gonna do on my lame fridaay maybe see me with my besties!!,fear
14503,<user> oooh you just spoiled my teenage fantasy,joy
14504,this thunder is scaring the hell out of me...geez...i hate thunder we better not loose electricity... #fb <url>,surprise
14505,awe i feel so left out,fear
14506,maaaaan last night was a funny night! sad aswell tho,sadness
14507,i am sad today,fear
14508,"awake again , i give up , i'm going to ready for today",noemo
14509,<user> had a panic with the car .....,fear
14510,<user> why so expensive,noemo
14511,<user> sorry. not unemployed.,anger
14512,just ate at chipolte... ate more than i usually do... now i'm ew full... not content full but ew full...,noemo
14513,it's sunny but i'm bored sad call or text me,sadness
14514,work...work....work....,noemo
14515,just saw my boo he went back to work now time to do my hair but it's going to rain wtf,anger
14516,i could live off of mediterranean food for the rest of my life. i miss home,sadness
14517,<user> he played the song but didn't send it out as a request,sadness
14518,<user> i couldn't eat 2,noemo
14519,history project,fear
14520,i'm kinda sad of being alone all the time i miss my brother and my friends suck i mean no one has even called me in 2 weeks,sadness
14521,"<user> my god, really! really? 50? christ",sadness
14522,"ok, so i know it's nearly 10:30pm here but <user> made me want some ice cream... i can't get the italian stuff though",joy
14523,<user> lol! y does ur tweet sound like ur voice yelling at me lol!,anger
14524,twitter has been foking up for me today arg! 1 and 1/2 hours of work till the weekend! woooooo,surprise
14525,"<user> that's awesome man. damn, i should of sent you an affiliate link. lol. oh well.",surprise
14526,<user> aww mark that makes me sad i got mine on presale.,fear
14527,<user> what?? why?,surprise
14528,"have to wait till friday to pick up my visa for china- not as expedited as i would have hoped, but at it's done #geeksonaplane",joy
14529,at shakas againn. no 2 dollar salads here,surprise
14530,"<user> its ok, it just hurts abit i thought i was doing a good job... if i was rude to people i could understand... x",sadness
14531,<user> so jealous,anger
14532,<user> i wish we had sun lollies for me to get addicted what flavour?,noemo
14533,happy its the weekend...love has knocked me down ya'll!!!,fear
14534,<user> aww that sucks it wasn't that long though but dianne was so cute as usual &lt;3 hopeflly some1 mite put it on youtube :s,love
14535,<user> fatty! omg i just found the worst shit out and idk what to do i need to talk to you!! hopefully i see you when you get off work.,noemo
14536,<user> there's just no air,sadness
14537,"<user> big brother quiz? what?! i'm too busy rocking out on guitar hero, i didn't notice any such thing",love
14538,ug i think i blew my phone interview i like them!,fear
14539,what a day!!! motorways and trains noooootttttttt fun,fear
14540,<user> do you not like turtles?,sadness
14541,has finally got some zyrtec for this terrible allergy attack. i hope it doesn't put me to sleep before the game comes on tonight.,fear
14542,<url> - such crappy weather,noemo
14543,no fair tonight. rain.,noemo
14544,<user> and now they are one. to become a bigger pain.,noemo
14545,<user> i miss you... come over and say bye before i leave!!,fear
14546,"<user> had lunch at bittercreek, they were out of hopnoxious had sweetgrass ipa tho, so all is still right in the world.",joy
14547,<user> aaawww no worries fresh start to work on growing it out again,joy
14548,not looking forward to the upcoming week...my better half will be gone all that time! it's truly gonna suck big time!,fear
14549,"christian lacroix, and one of our on-off clients, gone bust. <url>",noemo
14550,didn't realize animal kingdom closes so early at 5:00 today. now i'm stick in the exit traffic,fear
14551,i'm a senior. i should of been already.,joy
14552,"srsly, bgt, joke maaan. how lame. ughhhh work tomorah have to get up early",fear
14553,<user> babe u aint been reading my tweets- my phone has fallen apart. my new on comes nxt wk. the track ball keeps fallin out my phone,surprise
14554,<user> putain,noemo
14555,my foot still hurts from stepping on a spider...owwwwww,fear
14556,<user> small? we cant choose?,fear
14557,"<user> thanks, i found the link <url> , however i think you need to be a customer to download it",noemo
14558,ugh... waiting.... interminable...,noemo
14559,oh god! the cheesy disco music has started and everyone is getting up on the tables i need more wine...,joy
14560,so jealous im not at asylum right now,fear
14561,starting my 2nd shift! im going to miss like an hour of the lakers game!,fear
14562,welcome to minnesoooooooota. free up some time this trip to catch up! won't be at cliquot club though; they closed,joy
14563,<user> i want chinese food really baaad.,anger
14564,<user> hey! that's about what ours was... for round 1. :/ round 2 next week...,noemo
14565,today is lame because i am not in orlando i am soooo looking forward to next friday,joy
14566,<user> who will we make fun of?!?!,joy
14567,was supposeddd to hang out with al but her mommy wont let her now what to dooo? blah. hahaha,joy
14568,"<user> awww, it does remind me of getting ready for the ball.",love
14569,annoyed the #ppt didn't save my changes. when i explicitly saved.,noemo
14570,<user> soz i neva saw this message till now...if u add then delete me i cant see any messages uve left on my page,fear
14571,<user> aw poor u don't let her get 2 u just ignore her n keep ur head held high she iz just immature lil girl lol,anger
14572,<user> lmao im gutted cos it didnt come out right,sadness
14573,<user> can you get catacombs ffrom the cinemas? i tried to get it from my local one a little while ago and theyh didn't have it.,surprise
14574,<user> yea i knw,noemo
14575,last 3 days of school....i'm sad but happy but anxious.....,sadness
14576,"<user> i was lucky, my mom paid for everything for me. i'll take you shopping!",joy
14577,"stupid folkestone cinema is only showing star trek 3 times, damn them",sadness
14578,<user> i have started saving my tumblr drafts because that happened to me this week and i was so sad,sadness
14579,"<user> no he sabido nada de ti, this is making me a bit sad i must say!",sadness
14580,yeah me too.,noemo
14581,in a period of exams days are for study and nights for study and sleep... no funny time...,anger
14582,<user> i'm dying to read it! i hate england.,anger
14583,"im sick,youre sick. imy",sadness
14584,she is beautiful <user> but don't feel badly. some neaby grans see grandkids about the same amt. can't go to them = out of luck,sadness
14585,"<user> welcome to glasgow felix, sorry i cant be there tonight",sadness
14586,"looking to sketch final catwalk outfit, i really really want my long pink hair back. i also want to dye my models hair pink not allowed",joy
14587,<user> britains got talent is rather disappointing this year,sadness
14588,missing bham,love
14589,terminator salvation... by myself.,noemo
14590,<user> ryaaaaaaaaaaaaan <url>,noemo
14591,no more spending the day chatting with steve on the computer now what i am i going to do at work?,fear
14592,ops sorry queen mom,fear
14593,<url> mcfly concerts through the years [h]... don't have my '06 one though :/,fear
14594,i'm really mad at the world today. today is just a sucky day.,anger
14595,"my sister is having a stupid party &amp;&amp; i wanna hang out with my friends, but hilly won't txt me back...",sadness
14596,i want some pineapple! i miss my baby,sadness
14597,<user> so i spoke too soon.... &amp; my weekend may be delayed for like 20 more min aaaah i gottaaa get outttt of here b4 i lose it,fear
